Ortografia,Cat_Gram,Transcr_Fon,Molde_Sil,Num_Sil,VPret,Altura_VPret,Ponto_VPret,VTon,Altura_VTon,Ponto_VTon,VPost_NaoFinal,Altura_VPost,Ponto_VPost_NaoFinal,VPost_Final,Altura_VPost,Ponto_VPost_Final,RimaTon,Tipo_RimaTon,Acento,Prefixo,Raiz,Sufixo
imprevisto,adj,iN.pre.v1is.tu,VC.CCV.C1VC.CV,4,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,iS,coda_sibilante,paroxytone,iN.pre,v,ist.o
informado,adj,iN.foR.m1a.du,VC.CVC.C1V.CV,4,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,in.for.m,ad.o
persistente,adj,per.sis.t1eN.tshi,CVC.CVC.C1VC.CV,4,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,per.sis.t,ente
descoberto,adj,dzhis.ko.b1ehR.tu,CVC.CV.C1VC.CV,4,o,Média-Alta,Back,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,ehR,coda_rotica,paroxytone,deS,ko.b,eR.to
existencial,adj,e.zis.teN.si.1aw,V.CVC.CVC.CV.1VG,5,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,e.zis.t,ensi.al
figurativo,adj,fi.gu.ra.tsh1i.vu,CV.CV.CV.C1V.CV,5,a,Baixa,Central,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,fi.gu.r,ativ.o
gramatical,adj,gra.ma.tshi.k1aw,CCV.CV.CV.C1VG,4,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,gra.ma.ti.k,al
parisiense,adj,pa.ri.zi.1eN.si,CV.CV.CV.1VC.CV,5,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,pa.ri.z,iense
prefixado,adj,pre.fi.ks1a.du,CCV.CV.CC1V.CV,4,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,pre,fik.s,ad.o
rasante,adj,ha.z16N.tshi,CV.C1VC.CV,3,a,Baixa,Central,6,Média-Alta ,Central,NA,NA,NA,i,Alta,Front,6N,coda_nasal,paroxytone,NA,ha.z,ante
cerqueiro,adj,seR.k1ej.ru,CVC.C1VG.CV,3,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,ej,ditongo_oral,paroxytone,NA,ser.k,eiR.o
convicto,adj,koN.v1ik.tu,CVC.C1VC.CV,3,o,Média-Alta,Back,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,koN,vik,to
estimulante,adj,is.tshi.mu.l16N.tshi,VC.CV.CV.C1VC.CV,5,u,Alta,Back,6,Média-Alta ,Central,NA,NA,NA,i,Alta,Front,6N,coda_nasal,paroxytone,NA,es.ti.mu.l,ante
faminto,adj,fa.m1iN.tu,CV.C1VC.CV,3,a,Baixa,Central,i,Alta,Front,NA,NA,NA,u,Alta,Back,iN,coda_nasal,paroxytone,NA,fa.m,into
festivo,adj,fes.tsh1i.vu,CVC.C1V.CV,3,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,fes.t,ivo
heterossexual,adj,eh.te.ro.se.ksu.1aw,V.CV.CV.CV.CCV.1VG,6,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,etero,sek.s,u.al
infernal,adj,iN.feR.n1aw,VC.CVC.C1VG,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,in.fer.n,al
magno,adj,m1a.gi.nu,C1V.CV.CV,3,NA,NA,NA,a,Baixa,Central,i,u,Front,u,Alta,Back,a,vogal_oral,proparoxytone,NA,mag.n,o
repetitivo,adj,he.pe.tshi.tsh1i.vu,CV.CV.CV.C1V.CV,5,i,Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,he.pe.t,itiv.o
abrupto,adj,a.br1up.tu,V.CC1VC.CV,3,a,Baixa,Central,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,u,vogal_oral,paroxytone,NA,a.brupt,o
concentrado,adj,koN.seN.tr1a.du,CVC.CVC.CC1V.CV,4,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,koN,sen.tr,ad.o
delgado,adj,dew.g1a.du,CVG.C1V.CV,3,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,del.g,ad.o
inquieto,adj,iN.ki.1eh.tu,VC.CV.1V.CV,4,i,Alta,Front,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,eh,vogal_oral,paroxytone,iN,ki.e.t,o
pulmonar,adj,puw.mo.n1aR,CVG.CV.C1VC,3,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,pul.m,on.aR
autorizado,adj,aw.to.ri.z1a.du,VG.CV.CV.C1V.CV,5,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,au.tor,iz.ad.o
